unknown_voltage_0 -> 0
unknown_voltage_1 -> 1
unknown_voltage_2 -> 2
unknown_current_vin -> 3
0.209000 3.052629 1.526314
0.210000 3.065057 1.532528
0.211000 3.077454 1.538727
0.212000 3.089822 1.544911
0.213000 3.102159 1.551079
0.214000 3.114465 1.557232
0.215000 3.126740 1.563370
0.216000 3.138985 1.569493
0.217000 3.151199 1.575599
0.218000 3.163381 1.581691
0.219000 3.175533 1.587766
0.220000 3.187653 1.593826
0.221000 3.199741 1.599871
0.222000 3.211798 1.605899
0.223000 3.223823 1.611912
0.224000 3.235816 1.617908
0.225000 3.247778 1.623889
0.226000 3.259707 1.629854
0.227000 3.271604 1.635802
0.228000 3.283469 1.641735
0.229000 3.295302 1.647651
0.230000 3.307101 1.653551
0.231000 3.318869 1.659434
0.232000 3.330603 1.665302
0.233000 3.342305 1.671152
0.234000 3.353973 1.676987
0.235000 3.365609 1.682804
0.236000 3.377211 1.688605
0.237000 3.388780 1.694390
0.238000 3.400315 1.700158
0.239000 3.411817 1.705909
0.240000 3.423285 1.711643
0.241000 3.434720 1.717360
0.242000 3.446120 1.723060
0.243000 3.457486 1.728743
0.244000 3.468819 1.734409
0.245000 3.480117 1.740058
0.246000 3.491380 1.745690
0.247000 3.502610 1.751305
0.248000 3.513804 1.756902
0.249000 3.524964 1.762482
0.250000 3.536089 1.768045
0.251000 3.547180 1.773590
0.252000 3.558235 1.779117
0.253000 3.569255 1.784627
0.254000 3.580240 1.790120
0.255000 3.591189 1.795595
0.256000 3.602103 1.801052
0.257000 3.612981 1.806491
0.258000 3.623824 1.811912
0.259000 3.634631 1.817316
0.260000 3.645402 1.822701
0.261000 3.656137 1.828069
0.262000 3.666836 1.833418
0.263000 3.677499 1.838750
0.264000 3.688126 1.844063
0.265000 3.698716 1.849358
0.266000 3.709269 1.854635
0.267000 3.719786 1.859893
0.268000 3.730267 1.865133
0.269000 3.740710 1.870355
0.270000 3.751116 1.875558
0.271000 3.761486 1.880743
0.272000 3.771818 1.885909
0.273000 3.782113 1.891057
0.274000 3.792371 1.896185
0.275000 3.802591 1.901295
0.276000 3.812774 1.906387
0.277000 3.822919 1.911459
0.278000 3.833026 1.916513
0.279000 3.843095 1.921548
0.280000 3.853127 1.926563
0.281000 3.863120 1.931560
0.282000 3.873076 1.936538
0.283000 3.882993 1.941496
0.284000 3.892872 1.946436
0.285000 3.902712 1.951356
0.286000 3.912514 1.956257
0.287000 3.922277 1.961138
0.288000 3.932001 1.966001
0.289000 3.941687 1.970843
0.290000 3.951334 1.975667
0.291000 3.960941 1.980471
0.292000 3.970510 1.985255
0.293000 3.980039 1.990020
0.294000 3.989529 1.994765
0.295000 3.998980 1.999490
0.296000 4.008391 2.004195
0.297000 4.017763 2.008881
0.298000 4.027094 2.013547
0.299000 4.036387 2.018193
0.300000 4.045639 2.022819
0.301000 4.054851 2.027426
0.302000 4.064024 2.032012
0.303000 4.073156 2.036578
0.304000 4.082248 2.041124
0.305000 4.091300 2.045650
0.306000 4.100311 2.050155
0.307000 4.109282 2.054641
0.308000 4.118212 2.059106
0.309000 4.127101 2.063551
0.310000 4.135950 2.067975
0.311000 4.144758 2.072379
0.312000 4.153525 2.076763
0.313000 4.162251 2.081126
0.314000 4.170936 2.085468
0.315000 4.179580 2.089790
0.316000 4.188183 2.094091
0.317000 4.196744 2.098372
0.318000 4.205264 2.102632
0.319000 4.213742 2.106871
0.320000 4.222178 2.111089
0.321000 4.230573 2.115287
0.322000 4.238926 2.119463
0.323000 4.247238 2.123619
0.324000 4.255507 2.127753
0.325000 4.263734 2.131867
0.326000 4.271920 2.135960
0.327000 4.280063 2.140031
0.328000 4.288163 2.144082
0.329000 4.296222 2.148111
0.330000 4.304238 2.152119
0.331000 4.312211 2.156106
0.332000 4.320142 2.160071
0.333000 4.328031 2.164015
0.334000 4.335876 2.167938
0.335000 4.343679 2.171840
0.336000 4.351439 2.175719
0.337000 4.359156 2.179578
0.338000 4.366830 2.183415
0.339000 4.374460 2.187230
0.340000 4.382048 2.191024
0.341000 4.389592 2.194796
0.342000 4.397093 2.198547
0.343000 4.404551 2.202275
0.344000 4.411965 2.205982
0.345000 4.419335 2.209668
0.346000 4.426662 2.213331
0.347000 4.433945 2.216973
0.348000 4.441185 2.220592
0.349000 4.448380 2.224190
0.350000 4.455532 2.227766
0.351000 4.462639 2.231320
0.352000 4.469703 2.234851
0.353000 4.476722 2.238361
0.354000 4.483698 2.241849
0.355000 4.490629 2.245314
0.356000 4.497515 2.248758
0.357000 4.504357 2.252179
0.358000 4.511155 2.255578
0.359000 4.517908 2.258954
0.360000 4.524617 2.262308
0.361000 4.531281 2.265640
0.362000 4.537900 2.268950
0.363000 4.544474 2.272237
0.364000 4.551004 2.275502
0.365000 4.557488 2.278744
0.366000 4.563928 2.281964
0.367000 4.570322 2.285161
0.368000 4.576672 2.288336
0.369000 4.582976 2.291488
0.370000 4.589235 2.294617
0.371000 4.595448 2.297724
0.372000 4.601617 2.300808
0.373000 4.607739 2.303870
0.374000 4.613817 2.306908
0.375000 4.619848 2.309924
0.376000 4.625835 2.312917
0.377000 4.631775 2.315888
0.378000 4.637670 2.318835
0.379000 4.643519 2.321759
0.380000 4.649322 2.324661
0.381000 4.655079 2.327540
0.382000 4.660790 2.330395
0.383000 4.666455 2.333228
0.384000 4.672075 2.336037
0.385000 4.677648 2.338824
0.386000 4.683174 2.341587
0.387000 4.688655 2.344328
0.388000 4.694089 2.347045
0.389000 4.699477 2.349739
0.390000 4.704819 2.352409
0.391000 4.710114 2.355057
0.392000 4.715362 2.357681
0.393000 4.720565 2.360282
0.394000 4.725720 2.362860
0.395000 4.730829 2.365414
0.396000 4.735891 2.367945
0.397000 4.740906 2.370453
0.398000 4.745874 2.372937
0.399000 4.750796 2.375398
0.400000 4.755671 2.377835
0.401000 4.760499 2.380249
0.402000 4.765279 2.382640
0.403000 4.770013 2.385007
0.404000 4.774700 2.387350
0.405000 4.779339 2.389670
0.406000 4.783931 2.391966
0.407000 4.788476 2.394238
0.408000 4.792974 2.396487
0.409000 4.797425 2.398712
0.410000 4.801828 2.400914
0.411000 4.806183 2.403092
0.412000 4.810492 2.405246
0.413000 4.814752 2.407376
0.414000 4.818965 2.409483
0.415000 4.823131 2.411566
0.416000 4.827249 2.413624
0.417000 4.831319 2.415660
0.418000 4.835342 2.417671
0.419000 4.839317 2.419658
0.420000 4.843244 2.421622
0.421000 4.847123 2.423562
0.422000 4.850955 2.425477
0.423000 4.854738 2.427369
0.424000 4.858474 2.429237
0.425000 4.862161 2.431081
0.426000 4.865801 2.432900
0.427000 4.869392 2.434696
0.428000 4.872936 2.436468
0.429000 4.876431 2.438216
0.430000 4.879878 2.439939
0.431000 4.883277 2.441639
0.432000 4.886628 2.443314
0.433000 4.889931 2.444965
0.434000 4.893185 2.446593
0.435000 4.896391 2.448196
0.436000 4.899549 2.449774
0.437000 4.902658 2.451329
0.438000 4.905719 2.452859
0.439000 4.908731 2.454366
0.440000 4.911695 2.455848
0.441000 4.914611 2.457305
0.442000 4.917478 2.458739
0.443000 4.920296 2.460148
0.444000 4.923066 2.461533
0.445000 4.925787 2.462893
0.446000 4.928459 2.464230
0.447000 4.931083 2.465542
0.448000 4.933658 2.466829
0.449000 4.936185 2.468092
0.450000 4.938663 2.469331
0.451000 4.941092 2.470546
0.452000 4.943472 2.471736
0.453000 4.945803 2.472902
0.454000 4.948086 2.474043
0.455000 4.950320 2.475160
0.456000 4.952504 2.476252
0.457000 4.954640 2.477320
0.458000 4.956727 2.478364
0.459000 4.958765 2.479383
0.460000 4.960754 2.480377
0.461000 4.962695 2.481347
0.462000 4.964586 2.482293
0.463000 4.966428 2.483214
0.464000 4.968221 2.484110
0.465000 4.969965 2.484982
0.466000 4.971660 2.485830
0.467000 4.973306 2.486653
0.468000 4.974902 2.487451
0.469000 4.976450 2.488225
0.470000 4.977949 2.488974
0.471000 4.979398 2.489699
0.472000 4.980798 2.490399
0.473000 4.982149 2.491075
0.474000 4.983451 2.491725
0.475000 4.984704 2.492352
0.476000 4.985907 2.492953
0.477000 4.987061 2.493531
0.478000 4.988166 2.494083
0.479000 4.989222 2.494611
0.480000 4.990228 2.495114
0.481000 4.991185 2.495593
0.482000 4.992093 2.496047
0.483000 4.992952 2.496476
0.484000 4.993761 2.496880
0.485000 4.994521 2.497260
0.486000 4.995232 2.497616
0.487000 4.995893 2.497946
0.488000 4.996505 2.498252
0.489000 4.997068 2.498534
0.490000 4.997581 2.498790
0.491000 4.998045 2.499022
0.492000 4.998460 2.499230
0.493000 4.998825 2.499412
0.494000 4.999141 2.499570
0.495000 4.999407 2.499704
0.496000 4.999625 2.499812
0.497000 4.999792 2.499896
0.498000 4.999911 2.499955
0.499000 4.999980 2.499990
0.500000 5.000000 2.500000
0.501000 4.999970 2.499985
0.502000 4.999891 2.499946
0.503000 4.999763 2.499881
0.504000 4.999585 2.499793
0.505000 4.999358 2.499679
0.506000 4.999082 2.499541
0.507000 4.998756 2.499378
0.508000 4.998381 2.499190
0.509000 4.997956 2.498978
0.510000 4.997482 2.498741
0.511000 4.996959 2.498480
0.512000 4.996386 2.498193
0.513000 4.995765 2.497882
0.514000 4.995093 2.497547
0.515000 4.994373 2.497186
0.516000 4.993603 2.496802
0.517000 4.992784 2.496392
0.518000 4.991915 2.495958
0.519000 4.990998 2.495499
0.520000 4.990031 2.495015
0.521000 4.989015 2.494507
0.522000 4.987949 2.493974
0.523000 4.986834 2.493417
0.524000 4.985670 2.492835
0.525000 4.984457 2.492228
0.526000 4.983195 2.491597
0.527000 4.981883 2.490941
0.528000 4.980522 2.490261
0.529000 4.979112 2.489556
0.530000 4.977653 2.488826
0.531000 4.976144 2.488072
0.532000 4.974587 2.487294
0.533000 4.972980 2.486490
0.534000 4.971325 2.485662
0.535000 4.969620 2.484810
0.536000 4.967866 2.483933
0.537000 4.966063 2.483032
0.538000 4.964211 2.482106
0.539000 4.962310 2.481155
0.540000 4.960361 2.480180
0.541000 4.958362 2.479181
0.542000 4.956314 2.478157
0.543000 4.954217 2.477109
0.544000 4.952071 2.476036
0.545000 4.949877 2.474938
0.546000 4.947633 2.473817
0.547000 4.945341 2.472670
0.548000 4.943000 2.471500
0.549000 4.940610 2.470305
0.550000 4.938171 2.469086
0.551000 4.935684 2.467842
0.552000 4.933147 2.466574
0.553000 4.930562 2.465281
0.554000 4.927929 2.463964
0.555000 4.925246 2.462623
0.556000 4.922516 2.461258
0.557000 4.919736 2.459868
0.558000 4.916908 2.458454
0.559000 4.914031 2.457016
0.560000 4.911106 2.455553
0.561000 4.908133 2.454066
0.562000 4.905110 2.452555
0.563000 4.902040 2.451020
0.564000 4.898921 2.449461
0.565000 4.895754 2.447877
0.566000 4.892538 2.446269
0.567000 4.889274 2.444637
0.568000 4.885962 2.442981
0.569000 4.882601 2.441301
0.570000 4.879193 2.439596
0.571000 4.875736 2.437868
0.572000 4.872231 2.436115
0.573000 4.868678 2.434339
0.574000 4.865077 2.432538
0.575000 4.861428 2.430714
0.576000 4.857730 2.428865
0.577000 4.853985 2.426993
0.578000 4.850192 2.425096
0.579000 4.846351 2.423176
0.580000 4.842462 2.421231
0.581000 4.838526 2.419263
0.582000 4.834541 2.417271
0.583000 4.830509 2.415255
0.584000 4.826429 2.413215
0.585000 4.822302 2.411151
0.586000 4.818127 2.409063
0.587000 4.813904 2.406952
0.588000 4.809634 2.404817
0.589000 4.805316 2.402658
0.590000 4.800951 2.400475
0.591000 4.796538 2.398269
0.592000 4.792078 2.396039
0.593000 4.787571 2.393786
0.594000 4.783017 2.391508
0.595000 4.778415 2.389207
0.596000 4.773766 2.386883
0.597000 4.769070 2.384535
0.598000 4.764327 2.382163
0.599000 4.759537 2.379768
